transfer_type,source,destination,samples_transferred
0,1,44,149
0,1,45,455
0,2,14,1020
0,2,42,826
0,2,48,79
0,2,81,101
0,3,9,901
0,5,1,3002
0,5,60,138
0,5,68,667
0,5,16,1182
0,5,15,3501
0,5,74,89
0,5,8,2641
0,5,3,547
0,5,2,1682
0,5,77,1772
0,5,75,37
0,5,47,892
0,5,73,117
0,5,72,171
0,5,70,471
0,5,50,123
0,5,49,164
0,5,82,782
0,5,40,312
0,5,32,173
0,5,35,889
0,5,83,1274
0,5,31,1258
0,5,29,2393
0,5,27,265
0,5,26,564
0,5,25,871
0,5,24,2391
0,5,23,1975
0,5,22,446
0,5,21,1933
0,5,12,1508
0,5,39,517
0,5,85,2101
0,6,65,531
0,7,18,597
0,7,61,173
0,8,51,117
0,8,52,784
0,9,54,163
0,10,59,121
0,11,10,910
0,11,28,892
0,11,34,532
0,11,36,244
0,12,78,1256
0,12,30,150
0,13,11,1203
0,13,13,756
0,14,20,319
0,15,5,2203
0,16,80,878
0,17,7,1527
0,18,69,417
0,19,66,58
0,19,67,665
0,19,79,375
0,20,53,996
0,21,17,395
0,21,84,727
0,22,4,751
0,23,64,585
0,24,62,97
0,24,63,448
0,25,6,702
0,25,19,930
0,26,41,696
0,27,57,65
0,27,58,878
0,27,33,692
0,28,46,624
0,29,43,25
0,30,55,132
0,30,56,718
0,22,33,1839
1,22,22,1099
0,4,13,1697
0,4,76,98
1,4,4,331
0,26,65,1368
0,9,37,839
0,9,86,370
0,25,38,536
0,25,30,245
1,25,25,326
0,29,71,290
0,29,7,85
1,29,29,646
0,10,79,205
1,10,10,723
0,5,86,192
0,5,36,77
1,5,5,621
0,21,65,170
1,21,21,606
0,3,80,38
1,3,3,706
1,28,28,712
1,1,1,610
1,14,14,430
1,23,23,270
1,15,15,218
1,24,24,198
1,8,8,187
1,18,18,173
1,2,2,29
1,20,20,20
1,7,7,16
1,30,30,14
