transfer_type,source,destination,samples_transferred
0,1,44,36
0,1,45,200
1,1,1,114
0,2,14,400
0,3,9,400
1,3,3,100
1,4,4,600
0,5,1,800
0,5,60,36
0,5,68,150
0,5,16,300
0,5,15,800
0,5,74,36
0,5,8,700
0,5,3,200
0,5,2,600
0,5,77,500
0,5,75,36
0,5,47,200
0,5,73,36
0,5,72,36
0,5,70,150
0,5,50,36
0,5,49,36
0,5,82,250
0,5,40,70
0,5,32,70
0,5,35,200
0,5,83,500
0,5,31,500
0,5,29,500
0,5,27,90
0,5,26,168
0,6,65,600
0,7,18,150
0,8,51,36
0,8,52,200
1,8,8,114
0,9,54,36
1,9,9,164
0,10,59,36
1,10,10,314
0,11,10,200
0,11,28,200
0,11,34,150
0,11,36,72
0,11,37,178
0,12,78,300
0,12,30,150
0,12,38,50
0,13,11,300
0,13,13,150
0,14,20,150
1,14,14,100
0,15,5,300
0,16,80,150
0,17,7,500
0,18,69,200
0,19,66,36
0,19,67,264
0,20,53,300
0,21,17,200
0,22,4,300
1,22,22,100
0,23,64,200
0,24,62,36
0,24,63,164
0,25,6,200
0,25,19,200
0,26,41,200
1,26,26,300
0,27,57,36
0,27,58,200
0,27,33,464
0,28,46,200
1,28,28,150
0,29,43,36
1,29,29,164
0,30,55,36
0,30,56,164
