transfer_type,source,destination,samples_transferred
0,1,44,120
0,1,45,726
0,2,14,963
0,2,42,475
0,2,48,117
0,2,81,75
0,3,9,1535
0,5,1,3747
0,5,60,49
0,5,68,586
0,5,16,1383
0,5,15,3564
0,5,74,64
0,5,8,1676
0,5,3,958
0,5,2,2777
0,5,77,1810
0,5,75,38
0,5,47,579
0,5,73,56
0,5,72,127
0,5,70,333
0,5,50,154
0,5,49,145
0,5,82,923
0,5,40,228
0,5,32,155
0,5,35,810
0,5,83,1393
0,5,31,2148
0,5,29,2444
0,5,27,323
0,5,26,568
0,5,25,636
0,5,24,1110
0,5,23,2277
0,5,22,198
0,5,21,1314
0,5,12,2156
0,5,39,277
0,5,85,1772
0,6,65,546
0,7,18,317
0,7,61,105
0,8,51,131
0,8,52,668
0,9,54,144
0,10,59,125
0,11,10,415
0,11,28,906
0,11,34,676
0,11,36,194
0,11,37,273
0,12,78,1389
0,12,30,68
0,13,11,756
0,13,13,1140
0,14,20,686
0,15,5,1444
0,16,80,801
0,17,7,1449
0,18,69,609
0,19,66,49
0,19,67,999
0,19,79,28
0,20,53,809
0,21,17,400
0,21,84,573
0,22,4,1339
0,23,64,416
0,24,62,131
0,24,63,547
0,25,6,778
0,25,19,421
0,26,41,437
0,27,57,114
0,27,58,785
0,27,33,621
0,28,46,550
0,29,43,88
0,30,55,148
0,30,56,395
0,5,65,2427
1,5,5,485
0,22,33,1945
1,22,22,922
0,4,13,995
0,4,76,123
1,4,4,1404
0,26,38,545
0,26,30,536
1,26,26,582
0,25,7,515
0,25,71,490
1,25,25,531
0,9,86,445
0,9,37,118
1,9,9,723
0,15,79,406
1,15,15,737
0,10,69,339
1,10,10,664
0,29,9,126
1,29,29,874
1,28,28,906
1,21,21,894
1,2,2,512
1,8,8,441
1,23,23,389
1,1,1,360
1,7,7,322
1,30,30,228
1,16,16,216
1,20,20,183
1,14,14,166
1,24,24,71
