transfer_type,source,destination,samples_transferred
0,1,44,99
0,1,45,393
0,2,14,852
0,2,42,822
0,2,48,175
0,2,81,23
0,3,9,1481
0,5,1,2649
0,5,2,2886
0,5,3,754
0,5,8,1513
0,5,15,2201
0,5,16,1058
0,5,60,74
0,5,68,414
0,5,74,168
0,5,12,2249
0,5,21,2040
0,5,22,181
0,5,23,1370
0,5,24,1360
0,5,25,1012
0,5,26,907
0,5,27,381
0,5,29,1048
0,5,31,2049
0,5,32,102
0,5,35,875
0,5,39,518
0,5,40,110
0,5,47,523
0,5,49,85
0,5,50,100
0,5,70,503
0,5,72,170
0,5,73,64
0,5,75,168
0,5,77,2195
0,5,82,1244
0,5,83,1450
0,5,85,2006
0,6,65,577
0,7,18,457
0,7,61,151
0,8,51,47
0,8,52,937
0,9,54,103
0,10,59,114
0,11,10,697
0,11,28,788
0,11,34,513
0,11,36,128
0,11,37,309
0,12,78,1366
0,12,30,68
0,13,11,1343
0,13,13,422
0,14,20,668
0,15,5,1641
0,16,80,742
0,17,7,1519
0,18,69,583
0,19,66,157
0,19,67,854
0,20,53,1059
0,21,17,694
0,21,84,538
0,22,4,1218
0,23,64,822
0,24,62,176
0,24,63,540
0,25,6,938
0,25,19,790
0,26,41,750
0,27,57,101
0,27,58,643
0,27,33,835
0,28,46,532
0,29,43,42
0,30,55,41
0,30,56,683
0,5,65,1803
0,22,7,1477
0,4,13,1236
0,26,33,1151
0,9,38,731
0,29,71,578
0,15,86,657
0,10,67,545
0,25,53,416
0,1,9,414
0,21,63,423
0,28,37,494
0,16,30,220
0,14,30,170
0,7,69,163
0,2,69,140
0,30,64,105
0,8,79,122
0,1,44,100
0,1,45,100
0,5,1,100
0,5,2,100
0,5,3,100
0,5,8,100
0,5,12,100
0,5,15,100
0,5,16,100
0,5,21,100
0,5,22,100
0,5,23,100
0,5,24,100
0,5,25,100
0,5,26,100
0,5,27,100
0,5,29,100
0,5,31,100
0,5,32,100
0,5,35,100
0,5,39,100
0,5,40,100
0,5,47,100
0,5,49,100
0,5,50,100
0,5,60,100
0,5,68,100
0,5,70,100
0,5,72,100
0,5,73,100
0,5,74,100
0,5,75,100
0,5,77,100
0,5,82,82
0,9,54,100
0,10,59,100
0,15,5,100
0,21,17,100
0,21,84,100
0,22,4,100
0,25,6,100
0,25,19,100
0,26,41,71
0,28,46,100
0,29,43,100
0,30,55,30
1,1,1,92
1,4,4,866
1,9,9,391
1,10,10,323
1,15,15,253
1,21,21,75
1,22,22,1459
1,25,25,321
1,28,28,11
1,29,29,408
